friction_model,x1,spacing_m,n_total,n_points,alpha_key,k_dx,r2_dx,k_idx,r2_idx,delta_r2,fit_ok,idx_better
steady,2500.0,60.0,7,7,alpha_2d,0.35079726001882267,0.877747888508633,1.2660871472859723,0.9862563345444334,0.10850844603580045,True,True
steady,2500.0,60.0,8,8,alpha_2d,0.34593887329679396,0.8412689554846301,1.203567939985596,0.9778323752927905,0.13656341980816045,True,True
steady,2500.0,70.0,2,2,alpha_2d,,,,,,False,False
steady,2500.0,70.0,3,3,alpha_2d,0.265016480089857,0.9239629585807148,1.3722807909225887,0.9793059584410704,0.055342999860355624,True,True
steady,2500.0,70.0,4,4,alpha_2d,0.28102217370914584,0.9134254546378865,1.278720275332059,0.9854408854762298,0.07201543083834328,True,True
steady,2500.0,70.0,5,5,alpha_2d,0.29181080781087065,0.889643150726649,1.217974303766455,0.982531395134513,0.09288824440786403,True,True
steady,2500.0,70.0,6,6,alpha_2d,0.34697435876621135,0.9352753663021192,1.347076175601995,0.9966243417525203,0.06134897545040119,True,True
steady,2500.0,70.0,7,7,alpha_2d,0.3346432755319808,0.8862866370210568,1.241566381395397,0.9893897918298036,0.10310315480874677,True,True
steady,2500.0,70.0,8,8,alpha_2d,0.3335165346976464,0.8311604913083469,1.1959788484234923,0.9748196347218775,0.1436591434135306,True,True
steady,2500.0,80.0,2,2,alpha_2d,,,,,,False,False
steady,2500.0,80.0,3,3,alpha_2d,0.195962044171051,0.9756342317516639,1.0230932722562762,0.9999072818239585,0.024273050072294633,True,True
steady,2500.0,80.0,4,4,alpha_2d,0.19842899111707923,0.9215155487908072,0.9270719393261148,0.9948290073957229,0.07331345860491567,True,True
steady,2500.0,80.0,5,5,alpha_2d,0.2275443974672703,0.8435299953676817,0.9874669348183854,0.9701466890750358,0.12661669370735407,True,True
steady,2500.0,80.0,6,6,alpha_2d,0.27978070236084523,0.908887156564034,1.1244046428515502,0.9936789713778839,0.0847918148138499,True,True
steady,2500.0,80.0,7,7,alpha_2d,0.2926636870222078,0.8155337713756486,1.1315108831812954,0.9615081218154887,0.14597435043984008,True,True
steady,2500.0,80.0,8,8,alpha_2d,0.30288495139730287,0.7150978897761051,1.1310657941697766,0.9094604749792865,0.1943625852031814,True,True
steady,2500.0,90.0,2,2,alpha_2d,,,,,,False,False
steady,2500.0,90.0,3,3,alpha_2d,0.18993964580159334,0.9751961112595465,1.0165375195845499,0.9998900229954593,0.024693911735912732,True,True
steady,2500.0,90.0,4,4,alpha_2d,0.17502438239807228,0.9348499449599434,0.8326720875280536,0.999193838866111,0.06434389390616757,True,True
steady,2500.0,90.0,5,5,alpha_2d,0.18197594831974503,0.900516253116394,0.7961133672267274,0.9971484695250088,0.09663221640861475,True,True
steady,2500.0,90.0,6,6,alpha_2d,0.20838149477099308,0.9423339558377631,0.8441883053536462,0.9970044803883209,0.054670524550557764,True,True
steady,2500.0,90.0,7,7,alpha_2d,0.22116032612087042,0.9353687850111247,0.8510353995446575,0.9954196482410075,0.060050863229882734,True,True
steady,2500.0,90.0,8,8,alpha_2d,0.21541143767430823,0.8389755689939633,0.8052111099336302,0.9888978616919768,0.1499222926980135,True,True
steady,2500.0,100.0,2,2,alpha_2d,,,,,,False,False
steady,2500.0,100.0,3,3,alpha_2d,0.18472510591076813,0.974011598748739,1.0106020580107782,0.9999256439200906,0.025914045171351652,True,True
steady,2500.0,100.0,4,4,alpha_2d,0.1719421619596972,0.9337763585623825,0.835060223382624,0.999359651052901,0.06558329249051853,True,True
steady,2500.0,100.0,5,5,alpha_2d,0.1839949540186016,0.8880419946695765,0.8231282879383013,0.9945440805767174,0.10650208590714094,True,True
steady,2500.0,100.0,6,6,alpha_2d,0.19936471141727072,0.9408613786566064,0.8232905568350352,0.99676869024802,0.0559073115914136,True,True
steady,2500.0,100.0,7,7,alpha_2d,0.21727867736800852,0.9351899579184917,0.8519211877123918,0.995061258656427,0.05987130073793534,True,True
steady,2500.0,100.0,8,8,alpha_2d,0.21360378040525743,0.8421363681089856,0.8128643803849169,0.9905925104873498,0.14845614237836413,True,True
steady,3000.0,10.0,2,2,alpha_2d,,,,,,False,False
steady,3000.0,10.0,3,3,alpha_2d,0.3162196750487441,0.9835420946461961,0.9539987341418155,0.9999484512617471,0.01640635661555101,True,True
steady,3000.0,10.0,4,4,alpha_2d,0.36466946507371667,0.9567890171101139,1.005731692260926,0.9966271094231227,0.03983809231300883,True,True
steady,3000.0,10.0,5,5,alpha_2d,0.41530836239991886,0.932286409869533,1.0784817147705754,0.989430198816441,0.05714378894690797,True,True
steady,3000.0,10.0,6,6,alpha_2d,0.438199047087223,0.8982061231318402,1.0889651513432392,0.9774492407099774,0.07924311757813718,True,True
steady,3000.0,10.0,7,7,alpha_2d,0.4673061861595501,0.8503400892420572,1.1238844471064438,0.9517362166915952,0.10139612744953808,True,True
steady,3000.0,10.0,8,8,alpha_2d,0.5106329959763157,0.793864080582681,1.192873406366235,0.9236839726087795,0.12981989202609856,True,True
steady,3000.0,20.0,2,2,alpha_2d,,,,,,False,False
steady,3000.0,20.0,3,3,alpha_2d,0.36535356240229694,0.9328270256678843,1.382024783835201,0.9796566883098908,0.0468296626420065,True,True
steady,3000.0,20.0,4,4,alpha_2d,0.3912837825853921,0.9363025335439132,1.3228194819920613,0.9901506828160997,0.05384814927218651,True,True
steady,3000.0,20.0,5,5,alpha_2d,0.4199335057803179,0.9347623094666543,1.3156179610339207,0.9928492489629127,0.05808693949625843,True,True
