friction_model,x1,spacing_m,n_total,a,b,beta,r2
brunone,4000.0,100.0,8,,0.009869357523465799,0.47702596798429564,0.9956364720106758
steady,2000.0,10.0,3,,0.04750229379879022,0.5984926432004295,1.0
steady,2000.0,10.0,4,,0.08297142177757447,0.3939266982613109,0.9999479424873614
steady,2000.0,10.0,5,,0.07556292497812347,0.37562113059259267,0.9999049053591845
steady,2000.0,10.0,6,,0.04637386260382121,0.545392554014461,0.9996119606550652
steady,2000.0,10.0,7,,0.046214096701213306,0.49753043879839476,0.9950810276933187
steady,2000.0,10.0,8,,0.03272568389205454,0.5431096212036914,0.9989185276135804
steady,2000.0,20.0,3,,0.023634238421866585,0.6183681786588935,1.0
steady,2000.0,20.0,4,,0.0332198768817326,0.48264618447792623,0.9996672287477703
steady,2000.0,20.0,5,,0.03861985552214864,0.4535388993579397,0.9999099469171938
steady,2000.0,20.0,6,,0.021677702664593772,0.7140385537588703,0.9999739540936844
steady,2000.0,20.0,7,,0.03046554650999349,0.52154059354075,0.9997701673251078
steady,2000.0,20.0,8,,0.0184216537136147,0.7139409383747897,0.9994679007665525
steady,2000.0,30.0,3,,0.015257288937781907,0.6462191514999522,0.9999999999999999
steady,2000.0,30.0,4,,0.025506851174653913,0.6589054561163419,0.9998745561781975
steady,2000.0,30.0,5,,0.02006041035478049,0.7356544844971123,0.999188281720952
steady,2000.0,30.0,6,,0.015570878033508016,0.9254746244323725,0.9979123194633596
steady,2000.0,30.0,7,,0.01754992633654684,0.790367669267954,0.9991743890842969
steady,2000.0,30.0,8,,0.016448478421003263,0.7460331695162796,0.9977651996273524
steady,2000.0,40.0,3,,0.020035142198396562,1.0992946815174793,1.0
steady,2000.0,40.0,4,,0.029685168790787708,0.6336835605344427,0.9954159784244572
steady,2000.0,40.0,5,,0.017201389066411655,0.6601035635454431,0.9900687298472639
steady,2000.0,40.0,6,,0.022953458409333806,0.6098149747413307,0.9828064685529437
steady,2000.0,40.0,7,,0.01848345637055619,0.5981801781806902,0.9884219020775343
steady,2000.0,40.0,8,,0.017928842532348596,0.5892988138085645,0.9911605258200472
steady,2000.0,50.0,3,,0.016082411215907682,1.1113207815788686,1.0
steady,2000.0,50.0,4,,0.021735644314509656,0.6598965638786644,0.9929060420703955
steady,2000.0,50.0,5,,0.01470366662675756,0.6920833003751558,0.9930116323589928
steady,2000.0,50.0,6,,0.02393553293553642,0.5195520265751341,0.990876357926354
steady,2000.0,50.0,7,,0.013654189533732057,0.6213106394783118,0.9908645625592315
