x1,spacing_m,n_total,A_fit,gamma_local,R2_local,P_1
2500.0,60.0,3,1.4687407151023315,0.7876334388323922,0.9993464156950362,1.4654623710794177
2500.0,60.0,4,1.7426998575132953,0.6992472654674086,0.9925473512418564,1.7526804978596116
2500.0,60.0,5,2.175614176032267,0.633933816028464,0.9882426813101709,2.1962837388686087
2500.0,60.0,6,2.8801361402587333,0.7235165710277685,0.9814056372467171,2.931817956548402
2500.0,60.0,7,2.6581900011867288,0.5998444094362307,0.9816491461505346,2.7139107150157784
2500.0,60.0,8,2.5761103828602137,0.5153703075959006,0.9820304267947275,2.647948002661762
2500.0,70.0,2,1.048354249493647,0.8227035258089266,1.0,1.048354249493647
2500.0,70.0,3,1.4650724921048448,0.7874744241362341,0.9993613172386292,1.4618395733668843
2500.0,70.0,4,1.7660128696508446,0.6977789678102773,0.9924634603932818,1.7750275899333054
2500.0,70.0,5,2.276716648654489,0.6233479976370602,0.9854281809647103,2.300810173971176
2500.0,70.0,6,2.776593212897448,0.7288367437600829,0.9737712489857603,2.838477562151577
2500.0,70.0,7,2.704374227565859,0.5959050138048421,0.9759976342287318,2.773092871766487
2500.0,70.0,8,2.613322406602548,0.5044291883173845,0.9822795541512426,2.686672742476563
2500.0,80.0,2,1.0378397725923951,0.8330570231391509,1.0,1.0378397725923951
2500.0,80.0,3,1.5409340442816695,0.6199666194810401,0.9848650234131493,1.5593709394875466
2500.0,80.0,4,1.9264956020609534,0.4871196703401412,0.9876712125866721,1.9633171738948072
2500.0,80.0,5,2.6128707403288076,0.4589973671877982,0.9962815930994107,2.648641981806753
2500.0,80.0,6,2.9440610471760014,0.5209380666094444,0.9704354645253821,3.07368842747478
2500.0,80.0,7,3.035509120348125,0.4532377773812191,0.9883876665884477,3.137574292403466
2500.0,80.0,8,2.860770811975208,0.40284745044844794,0.9958262638158301,2.910984509427918
2500.0,90.0,2,1.0388150402399612,0.8287897073584488,1.0,1.0388150402399612
2500.0,90.0,3,1.5421124066793845,0.615731422919407,0.9845859032702021,1.560777126823217
2500.0,90.0,4,2.045253720873115,0.43694736983958504,0.9781206120571224,2.097927760757326
2500.0,90.0,5,2.6173778761573647,0.3751638575875055,0.9748953131556364,2.715012497073145
2500.0,90.0,6,2.8208209490922607,0.37657808703081597,0.9263962717503875,3.040344114288556
2500.0,90.0,7,2.890154118354416,0.35314503633094885,0.9141980712090931,3.1785497930669684
