friction_model,Cf,Kleak,x1,spacing_m,n_total,frac_idx,x_f,delta_x,P_1d,P_2d,alpha_1d,alpha_2d
brunone,0.0001,5e-05,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.0047771652841296355,0.005661550121362648,0.04921388728200828,0.44062963839793406
brunone,0.0001,0.0001,3000.0,20.0,3,1,3000.290023201856,0.0,0.08555605434763357,0.011927893932333627,1.0,1.0
brunone,0.0001,0.0001,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.02546361402887458,0.007141560868649398,0.297624922315961,0.5987277309106814
brunone,0.0001,0.0001,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.004356572177063752,0.005639248081936492,0.05092067662870491,0.4727781881636169
brunone,0.0001,0.0005,3000.0,20.0,3,1,3000.290023201856,0.0,0.09678074061266881,0.011740064611226496,1.0,1.0
brunone,0.0001,0.0005,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.009512811286851643,0.010824469662811555,0.09829240018862177,0.9220110809663349
brunone,0.0001,0.0005,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.0054948700589679345,0.007505130320213182,0.056776482843412385,0.6392750439411009
brunone,0.0001,0.001,3000.0,20.0,3,1,3000.290023201856,0.0,0.11916543155940186,0.016417580000372536,1.0,1.0
brunone,0.0001,0.001,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.014915328509942902,0.010998329654244757,0.12516489316373494,0.6699117442397229
brunone,0.0001,0.001,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.005249747548497265,0.0072771065916609114,0.04405428218401038,0.44325086836767563
steady,1e-07,0.0,3000.0,20.0,5,1,3000.290023201856,0.0,0.2376091495277755,0.88918425273309,1.0,1.0
steady,1e-07,0.0,3000.0,20.0,5,2,3020.591647331786,20.301624129930133,0.15841041752184837,0.7639285882089104,0.666684838680132,0.8591341849125413
steady,1e-07,0.0,3000.0,20.0,5,3,3039.443155452436,39.1531322505798,0.09724225108887505,0.6991702955719226,0.4092529739790506,0.7863053055909159
steady,1e-07,0.0,3000.0,20.0,5,4,3059.7447795823664,59.45475638051039,0.057315118704015594,0.6152734260832906,0.24121595829926448,0.6919526793149132
