friction_model,x1,spacing_m,n_total,frac_idx,x_f,P_2d,P_2d_profile,valley,sigma_ref,Gamma_k,A_fit,gamma_local,R2_local,gamma_cal,P_env_local,P_env_xfer,E_k_local,E_k_xfer,I_k,Psi_k_local,Psi_k_xfer
steady,2000.0,20.0,8,6,2099.767981438515,0.4029918458087468,0.40299184580874686,0.0,0.05,8.059836916174936,1.7379303778987223,0.32701893573645013,0.9690760797975257,0.6827223356407702,0.3387815714130122,0.06114577171429246,1.0,1.0,1.0,8.059836916174936,8.059836916174936
steady,2000.0,20.0,8,7,2120.069605568445,0.3210499082795278,0.3210499082795278,0.0,0.05,6.4209981655905555,1.7379303778987223,0.32701893573645013,0.9690760797975257,0.6827223356407702,0.2442852578178739,0.030893270529659064,1.0,1.0,1.0,6.4209981655905555,6.4209981655905555
steady,2000.0,20.0,8,8,2140.371229698376,0.2506304889023263,0.25063048890232636,0.0,0.05,5.012609778046526,1.7379303778987223,0.32701893573645013,0.9690760797975257,0.6827223356407702,0.1761467925727115,0.015608506316318459,1.0,1.0,1.0,5.012609778046526,5.012609778046526
steady,2000.0,30.0,1,1,1999.709976798144,5.551387982219954,,,0.05,111.02775964439908,,,,0.7386326693705875,,,1.0,1.0,1.0,111.02775964439908,111.02775964439908
steady,2000.0,30.0,2,1,1999.709976798144,2.2734491651710904,2.2734491651710904,0.0,0.05,45.46898330342181,2.2734491651710904,0.5681620622502022,1.0,0.7386326693705875,2.2734491651710904,2.2734491651710904,1.0,1.0,1.0,45.46898330342181,45.46898330342181
steady,2000.0,30.0,2,2,2030.1624129930392,1.2880585336890829,1.2880585336890829,0.0,0.05,25.761170673781656,2.2734491651710904,0.5681620622502022,1.0,0.7386326693705875,1.2880585336890829,1.086178383011743,1.0,1.0,1.0,25.761170673781656,25.761170673781656
steady,2000.0,30.0,3,1,1999.709976798144,1.764144788841058,1.764144788841058,0.0,0.05,35.28289577682116,1.7414741685127684,0.5199217655130034,0.9835295854092245,0.7386326693705875,1.7414741685127684,1.764144788841058,1.0,1.0,1.0,35.28289577682116,35.28289577682116
steady,2000.0,30.0,3,2,2030.1624129930392,0.9591641862354474,0.9591641862354474,0.0,0.05,19.183283724708946,1.7414741685127684,0.5199217655130034,0.9835295854092245,0.7386326693705875,1.0354231795727868,0.8428496944191711,0.9263499264437911,1.0,1.0,17.770433467334506,19.183283724708946
steady,2000.0,30.0,3,3,2060.614849187935,0.6797581487190096,0.6797581487190096,0.0,0.05,13.595162974380193,1.7414741685127684,0.5199217655130034,0.9835295854092245,0.7386326693705875,0.6156285175979394,0.4026855459234609,1.0,1.0,1.0,13.595162974380193,13.595162974380193
steady,2000.0,30.0,4,1,1999.709976798144,1.79005870525476,1.79005870525476,0.0,0.05,35.8011741050952,1.7551558612481237,0.6960508589878617,0.9802257967109811,0.7386326693705875,1.7551558612481237,1.79005870525476,1.0,1.0,1.0,35.8011741050952,35.8011741050952
steady,2000.0,30.0,4,2,2030.1624129930392,0.7592511856727426,0.7592511856727426,0.0,0.05,15.185023713454852,1.7551558612481237,0.6960508589878617,0.9802257967109811,0.7386326693705875,0.8750334225225379,0.8552305016344572,0.8676824977541779,0.8877737454659468,1.0,13.175779304146928,13.480865377083033
steady,2000.0,30.0,4,3,2060.614849187935,0.479451632049012,0.47945163204901203,0.0,0.05,9.589032640980239,1.7551558612481237,0.6960508589878617,0.9802257967109811,0.7386326693705875,0.43624814606892787,0.4086006837534583,1.0,1.0,1.0,9.589032640980239,9.589032640980239
steady,2000.0,30.0,4,4,2089.6171693735496,0.3149940270600271,0.3149940270600271,0.0,0.05,6.299880541200542,1.7551558612481237,0.6960508589878617,0.9802257967109811,0.7386326693705875,0.21749162951964254,0.19521581426845952,1.0,1.0,1.0,6.299880541200542,6.299880541200542
steady,2000.0,30.0,5,1,1999.709976798144,1.9339738902781665,1.9339738902781665,0.0,0.05,38.67947780556333,1.8787551853417315,0.5592702964525772,0.9803868667773953,0.7386326693705875,1.8787551853417315,1.9339738902781665,1.0,1.0,1.0,38.67947780556333,38.67947780556333
steady,2000.0,30.0,5,2,2030.1624129930392,0.933041193260318,0.933041193260318,0.0,0.05,18.660823865206357,1.8787551853417315,0.5592702964525772,0.9803868667773953,0.7386326693705875,1.0739453665129957,0.9239883895847671,0.8687976338031227,1.0,1.0,16.212479618908127,18.660823865206357
steady,2000.0,30.0,5,3,2060.614849187935,0.6258779391522573,0.6258779391522573,0.0,0.05,12.517558783045146,1.8787551853417315,0.5592702964525772,0.9803868667773953,0.7386326693705875,0.6138951254816873,0.44145091532991404,1.0,1.0,1.0,12.517558783045146,12.517558783045146
steady,2000.0,30.0,5,4,2089.6171693735496,0.420132748237354,0.420132748237354,0.0,0.05,8.40265496474708,1.8787551853417315,0.5592702964525772,0.9803868667773953,0.7386326693705875,0.35091843294955555,0.21091056212643094,1.0,1.0,1.0,8.40265496474708,8.40265496474708
steady,2000.0,30.0,5,5,2120.069605568445,0.2800390432971085,0.28003904329710855,0.0,0.05,5.60078086594217,1.8787551853417315,0.5592702964525772,0.9803868667773953,0.7386326693705875,0.20059411041445896,0.10076605047526736,1.0,1.0,1.0,5.60078086594217,5.60078086594217
steady,2000.0,30.0,6,1,1999.709976798144,1.830037565823546,1.830037565823546,0.0,0.05,36.60075131647092,1.7953123915869378,0.4596107472346999,0.9948950456221918,0.7386326693705875,1.7953123915869378,1.830037565823546,1.0,1.0,1.0,36.60075131647092,36.60075131647092
steady,2000.0,30.0,6,2,2030.1624129930392,1.0523685113323915,1.0523685113323917,0.0,0.05,21.04737022664783,1.7953123915869378,0.4596107472346999,0.9948950456221918,0.7386326693705875,1.1337925974048884,0.8743310712854121,0.9281843202549862,1.0,1.0,19.53583902697615,21.04737022664783
steady,2000.0,30.0,6,3,2060.614849187935,0.7311763114032176,0.7311763114032176,0.0,0.05,14.623526228064351,1.7953123915869378,0.4596107472346999,0.9948950456221918,0.7386326693705875,0.7160233839826833,0.4177263005369399,1.0,1.0,1.0,14.623526228064351,14.623526228064351
steady,2000.0,30.0,6,4,2089.6171693735496,0.4724265135841125,0.4724265135841125,0.0,0.05,9.448530271682248,1.7953123915869378,0.4596107472346999,0.9948950456221918,0.7386326693705875,0.4521898339991777,0.1995757303966571,1.0,1.0,1.0,9.448530271682248,9.448530271682248
steady,2000.0,30.0,6,5,2120.069605568445,0.3090641496807171,0.30906414968071716,0.0,0.05,6.181282993614341,1.7953123915869378,0.4596107472346999,0.9948950456221918,0.7386326693705875,0.2855711846097321,0.09535064493703557,1.0,1.0,1.0,6.181282993614341,6.181282993614341
steady,2000.0,30.0,6,6,2150.522041763341,0.198455651925633,0.198455651925633,0.0,0.05,3.96911303851266,1.7953123915869378,0.4596107472346999,0.9948950456221918,0.7386326693705875,0.1803466052258795,0.04555536623535722,1.0,1.0,1.0,3.96911303851266,3.96911303851266
steady,2000.0,30.0,7,1,1999.709976798144,1.7485424180073943,1.7485424180073945,0.0,0.05,34.97084836014788,1.701312607116943,0.48240068931864705,0.9908591854433562,0.7386326693705875,1.701312607116943,1.7485424180073943,1.0,1.0,1.0,34.97084836014788,34.97084836014788
steady,2000.0,30.0,7,2,2030.1624129930392,0.9542754960541908,0.9542754960541909,0.0,0.05,19.085509921083815,1.701312607116943,0.48240068931864705,0.9908591854433562,0.7386326693705875,1.050219705531375,0.8353954006602063,0.9086436781067256,1.0,1.0,17.341927933236,19.085509921083815
