friction_model,n_total,x1,spacing_m,P_1,P_2,P_3,P_4,alpha_2,alpha_3,alpha_4
steady,4,4000.0,20.0,3.0678537265601915,1.621356328759607,1.1321341078721032,0.8407350089638449,0.5284985769440645,0.369031319215307,0.2740466410393408
steady,4,4000.0,30.0,3.129656641725955,1.5512496452600797,1.043368670344542,0.6820123460427445,0.4956612890302849,0.3333811947399894,0.2179192237735785
steady,4,4000.0,40.0,3.364163418402016,1.552634822592253,1.0521417263405817,0.6800119750072359,0.4615218196890558,0.3127498862229323,0.2021340495195809
steady,4,4000.0,50.0,3.266487517681423,1.4321607999590935,0.6155992499729129,0.4322155598219815,0.4384406161685417,0.1884590853755565,0.1323181421886379
steady,4,4000.0,60.0,3.109599447110253,1.4027851594168463,0.6011702120415692,0.4295347959548524,0.4511144227017575,0.1933272185908818,0.1381318730147121
steady,4,4000.0,70.0,3.025455293870975,1.4512975405986557,0.6060286729226649,0.3222783583491783,0.4796955828561479,0.2003099084459682,0.1065222675747534
steady,4,4000.0,80.0,2.852894001656314,1.3989611414462353,0.5971248692241802,0.3066241834307573,0.490365621938297,0.2093049615153964,0.1074782951111186
steady,4,4000.0,90.0,2.669887680949397,1.3140526140517303,0.5573771020895129,0.408232012408887,0.4921752414635138,0.2087642510456892,0.1529023169483002
steady,4,4000.0,100.0,2.8037725206303388,1.5071678206274617,1.0454359977892165,0.7693724374824434,0.5375499651050945,0.3728676239234214,0.274406155214573
steady,4,4500.0,10.0,2.889492727319368,1.3602801739353247,0.9432464225652084,0.7047155263813484,0.4707678136976244,0.3264401441980006,0.2438890119772425
steady,4,4500.0,20.0,3.0426296613382,1.4293800798480152,0.9099985143177944,0.649492912448454,0.4697844427176687,0.2990829038055068,0.2134643334025726
steady,4,4500.0,30.0,2.941686164292264,1.3830119072306866,0.8546030170096698,0.5106343147452552,0.4701425746969251,0.2905146807920203,0.1735855853501993
steady,4,4500.0,40.0,2.853221125283879,1.2775632206453105,0.4594269269825992,0.3558064417440115,0.4477617277273595,0.1610204420931058,0.1247034232962265
steady,4,4500.0,50.0,2.7958328290027508,1.2672883460393582,0.474898079280601,0.3653506603108909,0.4532775825840019,0.1698592542280122,0.1306768618355512
steady,4,4500.0,60.0,2.6715861709540154,1.2439616059805343,0.5217644733938768,0.2614311196372453,0.4656266077078545,0.1953013827764935,0.097856143469963
steady,4,4500.0,70.0,2.5494786071634032,1.169097446209202,0.4897785352717505,0.3521434212187456,0.4585633481780657,0.192109293992738,0.1381237011478778
steady,4,4500.0,80.0,2.5007071782072368,1.1466203672303048,0.4775746766471004,0.3512466115877001,0.4585184451912997,0.1909758490754103,0.1404589128422103
steady,4,4500.0,90.0,2.630463854009256,1.3324196759598113,0.9171725701828553,0.6870610642375896,0.5065341133385985,0.348673321925688,0.261193881524126
steady,4,4500.0,100.0,3.5453017370400866,1.8654816294203755,1.188312483222641,0.7996277229310831,0.5261841636581925,0.3351795055432273,0.2255457453950531
