friction_model,x1,spacing_m,n_total,n_points,alpha_key,k_dx,r2_dx,k_idx,r2_idx,delta_r2,fit_ok,idx_better
brunone,3000.0,20.0,3,3,alpha_2d,0.33141041609916916,0.9755300937608359,1.2373413006138936,0.9992913919397335,0.023761298178897605,True,True
brunone,3000.0,20.0,4,4,alpha_2d,0.3220089589458167,0.9665036684767853,1.0800770581160837,0.9994886764810058,0.03298500800422055,True,True
brunone,3000.0,20.0,5,5,alpha_2d,0.32010162467530145,0.8804043865744247,1.007783380385276,0.9746754107432717,0.09427102416884703,True,True
brunone,3000.0,20.0,6,6,alpha_2d,0.27906615211993124,0.8233644778216624,0.832534711988402,0.9518453324104783,0.12848085458881586,True,True
brunone,3000.0,20.0,7,7,alpha_2d,0.28751332312514916,0.8168164431902935,0.8194354090383713,0.9517807147670471,0.1349642715767536,True,True
brunone,3000.0,20.0,8,8,alpha_2d,0.2964515294268857,0.6737251043863749,0.8200347649856071,0.8593836120272734,0.18565850764089853,True,True
brunone,3000.0,30.0,2,2,alpha_2d,,,,,,False,False
brunone,3000.0,30.0,3,3,alpha_2d,0.3627784891734999,0.9903811274600397,1.4968792641047806,0.9996102077567731,0.009229080296733416,True,True
brunone,3000.0,30.0,4,4,alpha_2d,0.3232886601573417,0.9139221763182562,1.2110494686197,0.9809786895329929,0.06705651321473671,True,True
brunone,3000.0,30.0,5,5,alpha_2d,0.3222561181828544,0.9041236785127713,1.1122833013234994,0.9806661558409753,0.07654247732820396,True,True
brunone,3000.0,30.0,6,6,alpha_2d,0.2571565708738231,0.7922448722244899,0.8421671603318065,0.9302216337748064,0.13797676155031646,True,True
brunone,3000.0,30.0,7,7,alpha_2d,0.28316863246709517,0.9244310340020734,0.8777298565286659,0.9954799868456048,0.07104895284353141,True,True
brunone,3000.0,30.0,8,8,alpha_2d,0.2723319172986574,0.8587142889175827,0.8157365152016317,0.9783925330301011,0.11967824411251837,True,True
brunone,3000.0,40.0,2,2,alpha_2d,,,,,,False,False
brunone,3000.0,40.0,3,3,alpha_2d,0.36516879092157356,0.9981791954694125,1.5858790244745509,0.9727769287174087,-0.025402266752003744,True,False
brunone,3000.0,40.0,4,4,alpha_2d,0.33553457071215104,0.9987388430727488,1.3123521188883671,0.9775218536551014,-0.02121698941764749,True,False
brunone,3000.0,40.0,5,5,alpha_2d,0.2938508253435665,0.9922777362349093,1.065255367683393,0.9787761277937624,-0.013501608441146895,True,False
brunone,3000.0,40.0,6,6,alpha_2d,0.2465820536949906,0.9610956649634818,0.8500632456516598,0.9907397690283366,0.029644104064854848,True,True
brunone,3000.0,40.0,7,7,alpha_2d,0.2723421486211437,0.9773178429302132,0.8897327149985748,0.9717145450950714,-0.005603297835141796,True,False
brunone,3000.0,40.0,8,8,alpha_2d,0.2746600820475315,0.975529699413201,0.8622669617682267,0.9629920009787917,-0.012537698434409328,True,False
brunone,3000.0,50.0,2,2,alpha_2d,,,,,,False,False
brunone,3000.0,50.0,3,3,alpha_2d,0.36650004992645163,0.9984161842927595,1.7037488088796695,0.9939204366008147,-0.004495747691944718,True,False
brunone,3000.0,50.0,4,4,alpha_2d,0.32730182454068024,0.9932645604878492,1.3550594754246936,0.9875485277642083,-0.0057160327236408515,True,False
brunone,3000.0,50.0,5,5,alpha_2d,0.2671305858094382,0.9794349695212068,1.022565398901932,0.981188532750014,0.0017535632288072645,True,True
brunone,3000.0,50.0,6,6,alpha_2d,0.24556983683221822,0.9650803418758165,0.8856485118493497,0.9822545345213338,0.01717419264551734,True,True
brunone,3000.0,50.0,7,7,alpha_2d,0.25714025194615403,0.9696159461222362,0.8803136718966816,0.9788431117599303,0.009227165637694101,True,True
brunone,3000.0,50.0,8,8,alpha_2d,0.26855865949841695,0.9148897372720108,0.89410878464972,0.978361258776951,0.06347152150494018,True,True
brunone,3000.0,60.0,2,2,alpha_2d,,,,,,False,False
brunone,3000.0,60.0,3,3,alpha_2d,0.3394614472634259,0.995808798548913,1.6518968229864448,0.9966632538093447,0.0008544552604317079,True,True
brunone,3000.0,60.0,4,4,alpha_2d,0.30912831059229884,0.9700925568058077,1.3497888168037175,0.9989112893315623,0.02881873252575451,True,True
brunone,3000.0,60.0,5,5,alpha_2d,0.2721411204612406,0.953835659932086,1.0927435310681246,0.9964504767083425,0.04261481677625656,True,True
brunone,3000.0,60.0,6,6,alpha_2d,0.24582629875504605,0.9163221727220224,0.9312103116002719,0.9937492470644411,0.07742707434241869,True,True
brunone,3000.0,60.0,7,7,alpha_2d,0.25149505957080776,0.8948467310302165,0.9073923559592759,0.9906289129081841,0.09578218187796761,True,True
brunone,3000.0,60.0,8,8,alpha_2d,0.2510614790119086,0.765279233385112,0.8800693314436882,0.9376801940180685,0.1724009606329565,True,True
brunone,3000.0,70.0,2,2,alpha_2d,,,,,,False,False
brunone,3000.0,70.0,3,3,alpha_2d,0.3283908783407938,0.9958340670456087,1.650977625237043,0.9962911979028775,0.00045713085726872826,True,True
brunone,3000.0,70.0,4,4,alpha_2d,0.3140949512823204,0.9866041032050568,1.4041331144352245,0.9934669790677834,0.006862875862726603,True,True
brunone,3000.0,70.0,5,5,alpha_2d,0.2580597222052499,0.9486731014044494,1.0687863176630903,0.9989055643832179,0.05023246297876849,True,True
brunone,3000.0,70.0,6,6,alpha_2d,0.2351516541661297,0.8874372994847589,0.9215654568451113,0.9917519846513397,0.10431468516658082,True,True
brunone,3000.0,70.0,7,7,alpha_2d,0.22659667009578885,0.7706066326279991,0.8544513980608822,0.9507691331880213,0.18016250056002214,True,True
brunone,3000.0,70.0,8,8,alpha_2d,0.2610872856206302,0.8205090591829904,0.9403109576624474,0.9608904518950532,0.14038139271206274,True,True
brunone,3000.0,80.0,2,2,alpha_2d,,,,,,False,False
brunone,3000.0,80.0,3,3,alpha_2d,0.3224364441211162,0.9941955728427798,1.6718280435308617,0.9975846162630712,0.0033890434202913378,True,True
brunone,3000.0,80.0,4,4,alpha_2d,0.29186269984648955,0.9796161405420839,1.3434189208482576,0.9977762237429398,0.018160083200855937,True,True
brunone,3000.0,80.0,5,5,alpha_2d,0.2468510744355302,0.9424468843705859,1.0497390930339805,0.9993952054809904,0.05694832111040449,True,True
brunone,3000.0,80.0,6,6,alpha_2d,0.22436684960697403,0.877430165029403,0.902894899425428,0.9890713874830563,0.11164122245365338,True,True
brunone,3000.0,80.0,7,7,alpha_2d,0.21421869658817053,0.7291560883899354,0.8298137228010923,0.9309318363076564,0.20177574791772102,True,True
brunone,3000.0,80.0,8,8,alpha_2d,0.2405829496429991,0.8469281950007636,0.8820258583427533,0.9812195783734902,0.1342913833727266,True,True
brunone,3000.0,90.0,2,2,alpha_2d,,,,,,False,False
brunone,3000.0,90.0,3,3,alpha_2d,0.3089452390506112,0.9957026688126671,1.6382251740635325,0.9959665098377242,0.0002638410250570544,True,True
brunone,3000.0,90.0,4,4,alpha_2d,0.28908427882541443,0.978803475147086,1.362538546459145,0.9980555982754372,0.01925212312835123,True,True
brunone,3000.0,90.0,5,5,alpha_2d,0.2547780131597952,0.9507900238206024,1.1069283512882717,0.9989963418882304,0.048206318067627985,True,True
brunone,3000.0,90.0,6,6,alpha_2d,0.2226383443164603,0.8770620931757337,0.9157153292016156,0.990534979014438,0.1134728858387043,True,True
brunone,3000.0,90.0,7,7,alpha_2d,0.23771494014564337,0.7965904001443912,0.9384521533401757,0.9586068229908274,0.16201642284643625,True,True
