friction_model,x1,n_total,spacing_m,P_1,P_end,R_end,sum_P,mean_P,b_topological
steady,3000.0,6,10.0,3.069125708677348,0.3262485412589139,0.10630015588364805,7.502704360206018,1.250450726701003,0.45312567941530646
steady,3000.0,6,20.0,2.971184469706205,0.3092752197471444,0.10409155772738876,6.480591326127695,1.0800985543546158,0.49541482287600835
steady,3000.0,6,30.0,2.9471472168080544,0.1995209703249095,0.06769969589133835,5.978730642760908,0.9964551071268181,0.5926347277228214
steady,3000.0,6,40.0,3.1421693109254183,0.2161271441610552,0.06878278118546144,6.372985462152084,1.062164243692014,0.5920935509038225
steady,3000.0,6,50.0,3.283218151890248,0.2536695727177695,0.07726247875783833,6.538541656104651,1.0897569426841085,0.5828435484250424
steady,3000.0,6,60.0,3.2258069038751613,0.2549549769989827,0.07903603178873023,6.659723468385836,1.1099539113976393,0.5492481664538382
steady,3000.0,6,70.0,3.1592095253752457,0.26658760063801,0.08438427350156372,7.800215103852121,1.3000358506420202,0.4773075321708169
steady,3000.0,6,80.0,2.99432018270848,0.6122585801483086,0.20447331707676522,8.513744121210431,1.418957353535072,0.3386230578702341
steady,3000.0,6,90.0,2.900655704988011,0.6327861738093338,0.21815280342344154,8.397157813347803,1.3995263022246338,0.32790151202382123
steady,3000.0,6,100.0,2.9309726640576126,0.662981812698456,0.22619856569410302,8.68306630591279,1.4471777176521317,0.3150896458487398
steady,3000.0,7,10.0,3.3971305249123454,0.2430702295930398,0.07155163094574107,8.895114049311745,1.2707305784731064,0.43377870055047035
steady,3000.0,7,20.0,3.2259248713171083,0.2334462281137351,0.07236567416352188,7.216459043579409,1.030922720511344,0.4835341718327874
steady,3000.0,7,30.0,3.201148624760361,0.1530391049504689,0.04780756000103727,6.44524727043326,0.9207496100618943,0.578498239086934
steady,3000.0,7,40.0,3.1431951974943257,0.1785009476154198,0.0567896476037238,6.500124754052327,0.9285892505789038,0.5482698879494278
steady,3000.0,7,50.0,3.379175622902844,0.192465631145383,0.056956386001638916,7.174313070156981,1.024901867165283,0.5248071392852267
steady,3000.0,7,60.0,2.9130156512192014,0.2217289128712096,0.0761166225723532,6.58234655002158,0.9403352214316543,0.4807217498096297
steady,3000.0,7,70.0,2.9418838216799648,0.2172322550611883,0.07384120795672267,7.767896484384592,1.1096994977692274,0.44054955883388525
steady,3000.0,7,80.0,3.220027021880702,0.5011896462185086,0.15564765227522276,10.00343173597768,1.42906167656824,0.3211561967412939
steady,3000.0,7,90.0,3.0175111931362304,0.5232118706276899,0.1733918574412621,9.58047986027273,1.3686399800389615,0.3067032133560645
steady,3000.0,7,100.0,2.9364982580234056,0.4905789914617883,0.16706258555453843,9.312584921009167,1.330369274429881,0.30568500309795843
steady,3000.0,8,10.0,3.070730574603771,0.1863921217362502,0.06069960135148006,8.297492593049414,1.0371865741311768,0.42697929599716605
steady,3000.0,8,20.0,3.4196532491553127,0.1837801443506183,0.05374233320176944,7.379947592484708,0.9224934490605885,0.47978406440267146
steady,3000.0,8,30.0,3.5546574487296536,0.1235222816076472,0.03474941914636275,7.402374714551503,0.9252968393189379,0.5451044266328717
steady,3000.0,8,40.0,3.355344194438175,0.1374770572401273,0.040972564742541025,7.001588487371958,0.8751985609214947,0.5211963866099024
steady,3000.0,8,50.0,2.811514698505992,0.1674003431227018,0.05954098095651305,6.474115303179603,0.8092644128974503,0.45255665040098386
steady,3000.0,8,60.0,2.9139635854332573,0.1730020267057714,0.0593700029645528,7.146975863942821,0.8933719829928526,0.43756068440146983
steady,3000.0,8,70.0,3.019114358320824,0.1869117834541857,0.06190947452488768,8.533094131508356,1.0666367664385445,0.414533512889708
steady,3000.0,8,80.0,3.014694557015266,0.4252084334164581,0.14104527850988682,10.23126539296063,1.2789081741200787,0.28749620977492757
steady,3000.0,8,90.0,3.0019434368518176,0.4603922112333978,0.1533647188623307,10.068784318898485,1.2585980398623107,0.28545244716428314
steady,3000.0,8,100.0,3.0098355350674755,0.4431967650425221,0.1472494958209025,9.884723546985125,1.2355904433731406,0.2922579498241338
