friction_model,x1,n_total,spacing_m,P_1,P_end,R_end,SNR_end_dB,sigma_noise_ref,n_det_th_15,pass_rate_th_15,n_det_th_25,pass_rate_th_25,n_det_th_35,pass_rate_th_35,n_det_th_50,pass_rate_th_50
steady,3000.0,6,70.0,3.1592095253752457,0.26658760063801,0.08438427350156372,14.537398831361504,0.05,6,1.0,6,1.0,5,0.8333333333333334,4,0.6666666666666666
steady,3000.0,6,80.0,2.99432018270848,0.6122585801483086,0.20447331707676522,21.759297513508788,0.05,6,1.0,6,1.0,6,1.0,6,1.0
steady,3000.0,6,90.0,2.900655704988011,0.6327861738093338,0.21815280342344154,22.045739541026784,0.05,6,1.0,6,1.0,6,1.0,6,1.0
steady,3000.0,6,100.0,2.9309726640576126,0.662981812698456,0.22619856569410302,22.450632208281863,0.05,6,1.0,6,1.0,6,1.0,6,1.0
steady,3000.0,7,10.0,3.3971305249123454,0.2430702295930398,0.07155163094574107,13.735235337353922,0.05,7,1.0,6,0.8571428571428571,6,0.8571428571428571,5,0.7142857142857143
steady,3000.0,7,20.0,3.2259248713171083,0.2334462281137351,0.07236567416352188,13.384337138275576,0.05,7,1.0,6,0.8571428571428571,5,0.7142857142857143,4,0.5714285714285714
steady,3000.0,7,30.0,3.201148624760361,0.1530391049504689,0.04780756000103727,9.716648254368923,0.05,7,1.0,5,0.7142857142857143,4,0.5714285714285714,3,0.42857142857142855
steady,3000.0,7,40.0,3.1431951974943257,0.1785009476154198,0.0567896476037238,11.053410433510573,0.05,7,1.0,5,0.7142857142857143,4,0.5714285714285714,3,0.42857142857142855
steady,3000.0,7,50.0,3.379175622902844,0.192465631145383,0.056956386001638916,11.707663677284128,0.05,7,1.0,6,0.8571428571428571,5,0.7142857142857143,4,0.5714285714285714
steady,3000.0,7,60.0,2.9130156512192014,0.2217289128712096,0.0761166225723532,12.937046466747217,0.05,7,1.0,6,0.8571428571428571,5,0.7142857142857143,4,0.5714285714285714
steady,3000.0,7,70.0,2.9418838216799648,0.2172322550611883,0.07384120795672267,12.75908612489889,0.05,7,1.0,6,0.8571428571428571,5,0.7142857142857143,5,0.7142857142857143
steady,3000.0,7,80.0,3.220027021880702,0.5011896462185086,0.15564765227522276,20.020641724900866,0.05,7,1.0,7,1.0,7,1.0,7,1.0
steady,3000.0,7,90.0,3.0175111931362304,0.5232118706276899,0.1733918574412621,20.394151687249856,0.05,7,1.0,7,1.0,7,1.0,7,1.0
steady,3000.0,7,100.0,2.9364982580234056,0.4905789914617883,0.16706258555453843,19.834778834405835,0.05,7,1.0,7,1.0,7,1.0,6,0.8571428571428571
steady,3000.0,8,10.0,3.070730574603771,0.1863921217362502,0.06069960135148006,11.429150953598024,0.05,8,1.0,6,0.75,5,0.625,5,0.625
steady,3000.0,8,20.0,3.4196532491553127,0.1837801443506183,0.05374233320176944,11.306571679442461,0.05,8,1.0,6,0.75,5,0.625,4,0.5
steady,3000.0,8,30.0,3.5546574487296536,0.1235222816076472,0.03474941914636275,7.855506013601753,0.05,7,0.875,5,0.625,4,0.5,3,0.375
steady,3000.0,8,40.0,3.355344194438175,0.1374770572401273,0.040972564742541025,8.785204459095956,0.05,7,0.875,5,0.625,4,0.5,3,0.375
steady,3000.0,8,50.0,2.811514698505992,0.1674003431227018,0.05954098095651305,10.495726790025797,0.05,8,1.0,6,0.75,5,0.625,4,0.5
steady,3000.0,8,60.0,2.9139635854332573,0.1730020267057714,0.0593700029645528,10.781623730997413,0.05,8,1.0,6,0.75,5,0.625,4,0.5
steady,3000.0,8,70.0,3.019114358320824,0.1869117834541857,0.06190947452488768,11.453333541478695,0.05,8,1.0,6,0.75,5,0.625,5,0.625
steady,3000.0,8,80.0,3.014694557015266,0.4252084334164581,0.14104527850988682,18.592637304524466,0.05,8,1.0,8,1.0,8,1.0,7,0.875
steady,3000.0,8,90.0,3.0019434368518176,0.4603922112333978,0.1533647188623307,19.283159268604603,0.05,8,1.0,8,1.0,8,1.0,7,0.875
steady,3000.0,8,100.0,3.0098355350674755,0.4431967650425221,0.1472494958209025,18.95253154835003,0.05,8,1.0,8,1.0,8,1.0,7,0.875
