friction_model,x1,n_total,spacing_m,frac_idx,x_true,x_extracted,loc_error_m,P_1d,P_2d,alpha_2d,mu_coda,sigma_coda,PSR_dB,tau_s_ms
steady,3000.0,4,50,3,3100.0,3100.348027842227,0.34802784222711125,0.0273954676492427,0.6093870643008155,0.1989202358904474,-0.008740567709064638,0.020646676311361387,29.52456018026892,68.9655172413793
steady,3000.0,4,50,4,3150.0,3149.6519721577724,0.348027842227566,0.0186490423881741,0.4362611943638836,0.142407321678679,-0.008740567709064638,0.020646676311361387,26.67023162972552,68.9655172413793
steady,3000.0,4,60,1,3000.0,3000.290023201856,0.29002320185600183,0.5813100801042217,3.0875232841278337,1.0,-0.007277030701011525,0.025177445732780076,41.7924192759793,82.75862068965517
steady,3000.0,4,60,2,3060.0,3059.7447795823664,0.25522041763360903,0.1386166139520517,1.4644582190748356,0.4743148745155187,-0.007277030701011525,0.025177445732780076,35.336360465889015,82.75862068965517
steady,3000.0,4,60,3,3120.0,3120.6496519721577,0.6496519721576988,0.0281590510043251,0.5924020709393347,0.1918696691243502,-0.007277030701011525,0.025177445732780076,27.538144914062826,82.75862068965517
steady,3000.0,4,60,4,3180.0,3180.104408352668,0.1044083526680879,0.019180544018226,0.4367277923146014,0.1414492303781827,-0.007277030701011525,0.025177445732780076,24.927520382206737,82.75862068965517
steady,3000.0,4,70,1,3000.0,3000.290023201856,0.29002320185600183,0.5730131001041182,3.039887658454606,1.0,-0.005905356155817914,0.03481513595976388,38.83864581575568,96.55172413793103
steady,3000.0,4,70,2,3070.0,3069.8955916473315,0.10440835266854265,0.1307915492286508,1.5270172685933854,0.5023268752535671,-0.005905356155817914,0.03481513595976388,32.87504277195391,96.55172413793103
steady,3000.0,4,70,3,3140.0,3139.501160092808,0.49883990719217763,0.0571179975887876,1.06411342164539,0.3500502456680768,-0.005905356155817914,0.03481513595976388,29.75246607369895,96.55172413793103
steady,3000.0,4,70,4,3210.0,3210.556844547564,0.5568445475641965,0.0210631521434721,0.6931700025009067,0.2280248747262241,-0.005905356155817914,0.03481513595976388,26.055117973216934,96.55172413793103
steady,3000.0,4,80,1,3000.0,3000.290023201856,0.29002320185600183,0.5735282564419341,3.090150687806821,1.0,-0.006396406933957109,0.04966361708965105,35.89678685359021,110.34482758620689
steady,3000.0,4,80,2,3080.0,3080.046403712297,0.04640371229697848,0.1278305012971331,1.581300291184144,0.5117227122365491,-0.006396406933957109,0.04966361708965105,30.094583895700854,110.34482758620689
steady,3000.0,4,80,3,3160.0,3159.802784222737,0.19721577726295436,0.052578304256034,1.157552585415549,0.374594219622701,-0.006396406933957109,0.04966361708965105,27.397912037303918,110.34482758620689
steady,3000.0,4,80,4,3240.0,3239.5591647331785,0.44083526682152296,0.0261115810470165,0.8778313282320602,0.2840739552591479,-0.006396406933957109,0.04966361708965105,25.010515725773228,110.34482758620689
steady,3000.0,4,90,1,3000.0,3000.290023201856,0.29002320185600183,0.5768046898259785,3.147049222406161,1.0,-0.006027630352413951,0.0504474994292088,35.917898244663874,124.13793103448276
steady,3000.0,4,90,2,3090.0,3090.197215777262,0.19721577726204487,0.1278505946962564,1.635703331845632,0.5197577845938524,-0.006027630352413951,0.0504474994292088,30.249246894846543,124.13793103448276
steady,3000.0,4,90,3,3180.0,3180.104408352668,0.1044083526680879,0.0515340216525666,1.2000454683355688,0.3813240224498432,-0.006027630352413951,0.0504474994292088,27.570679731885996,124.13793103448276
steady,3000.0,4,90,4,3270.0,3270.011600928074,0.011600928074130934,0.025140556543692,0.9080057058563726,0.2885260578041205,-0.006027630352413951,0.0504474994292088,25.162447826455313,124.13793103448276
steady,3000.0,4,100,1,3000.0,3000.290023201856,0.29002320185600183,0.5815910344555264,3.1586102046321627,1.0,-0.006187404226546902,0.04777856553250052,36.422256702165825,137.9310344827586
steady,3000.0,4,100,2,3100.0,3100.348027842227,0.34802784222711125,0.1270780014905345,1.7053811517808368,0.5399150389876732,-0.006187404226546902,0.04777856553250052,31.083223851720835,137.9310344827586
steady,3000.0,4,100,3,3200.0,3200.406032482598,0.40603248259822067,0.0493745250152572,1.208857668005572,0.3827182177252384,-0.006187404226546902,0.04777856553250052,28.107185635091657,137.9310344827586
steady,3000.0,4,100,4,3300.0,3300.46403712297,0.46403712296978483,0.0229031381897537,0.9204506347807448,0.2914100110962999,-0.006187404226546902,0.04777856553250052,25.753540351652294,137.9310344827586
steady,3000.0,8,10,1,3000.0,3000.290023201856,0.29002320185600183,0.6244351360422002,3.070730574603771,1.0,-0.014408347350194459,0.017948364247169096,44.70499700465156,13.793103448275861
steady,3000.0,8,10,2,3010.0,3010.440835266821,0.4408352668210682,0.1141542056315735,1.835277871659422,0.5976681532524993,-0.014408347350194459,0.017948364247169096,40.261463725737194,13.793103448275861
steady,3000.0,8,10,3,3020.0,3020.591647331786,0.5916473317861346,0.038663662264169,1.2838499898288591,0.4180926846682144,-0.014408347350194459,0.017948364247169096,37.18672491278835,13.793103448275861
steady,3000.0,8,10,4,3030.0,3029.2923433874707,0.7076566125292629,0.0087001118933152,0.8466735564102128,0.2757238174565226,-0.014408347350194459,0.017948364247169096,33.62039175454515,13.793103448275861
steady,3000.0,8,10,5,3040.0,3039.443155452436,0.5568445475641965,0.0053894628865267,0.53059649054269,0.1727916134782209,-0.014408347350194459,0.017948364247169096,29.647509656746585,13.793103448275861
steady,3000.0,8,10,6,3050.0,3049.5939675174013,0.4060324825986754,0.003021147941592,0.3201932198784802,0.1042726517678276,-0.014408347350194459,0.017948364247169096,25.410061924222962,13.793103448275861
steady,3000.0,8,10,7,3060.0,3059.7447795823664,0.25522041763360903,0.0008002217714288,0.2237787683897277,0.0728747648004263,-0.014408347350194459,0.017948364247169096,22.457867817715783,13.793103448275861
steady,3000.0,8,10,8,3070.0,3069.8955916473315,0.10440835266854265,0.0009672636243555,0.1863921217362502,0.06069960135148,-0.014408347350194459,0.017948364247169096,20.974796968500343,13.793103448275861
steady,3000.0,8,20,1,3000.0,3000.290023201856,0.29002320185600183,0.6202241691697864,3.4196532491553127,1.0,-0.00898433021536965,0.015281117373227146,47.01932938728441,27.586206896551722
